target_idx,target_date,target_title,similar_idx,similar_date,similar_title,similarity
7,2014/07/12,司馬庫斯護林，青壯守夜,12,2009/08/07,防損，部落急忙採收小米,0.3374269335448179
8,2014/11/19,尖石新地標，玉峰大橋修好了,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.6532586638395343
8,2014/11/19,尖石新地標，玉峰大橋修好了,9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,0.6355657029322105
8,2014/11/19,尖石新地標，玉峰大橋修好了,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.5557474589062404
8,2014/11/19,尖石新地標，玉峰大橋修好了,5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0.3569518068198987
8,2014/11/19,尖石新地標，玉峰大橋修好了,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.2349749773027474
9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,0.7476431800909837
9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,8,2014/11/19,尖石新地標，玉峰大橋修好了,0.6355657029322105
9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.44522037803739967
9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.29302370057473204
9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0.21764238781015455
10,2012/11/08,把鄰人看成豬打獵打死人,14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,0.9771654560287791
10,2012/11/08,把鄰人看成豬打獵打死人,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.5875913345501153
10,2012/11/08,把鄰人看成豬打獵打死人,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.38922250189220897
10,2012/11/08,把鄰人看成豬打獵打死人,1,2010/04/05,水田部落秘圳47年後「再發現」,0.36464780598800073
10,2012/11/08,把鄰人看成豬打獵打死人,8,2014/11/19,尖石新地標，玉峰大橋修好了,0.21548825631249435
11,2009/03/12,桃花舞春風，鎮西堡迎賓,12,2009/08/07,防損，部落急忙採收小米,0.9278420154713358
11,2009/03/12,桃花舞春風，鎮西堡迎賓,1,2010/04/05,水田部落秘圳47年後「再發現」,0.7125937850140659
11,2009/03/12,桃花舞春風，鎮西堡迎賓,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.6916122423176095
11,2009/03/12,桃花舞春風，鎮西堡迎賓,5,2010/09/13,盛「礦」重現，復興煤礦拚觀光,0.5080652691980552
11,2009/03/12,桃花舞春風，鎮西堡迎賓,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.4789064880954925
12,2009/08/07,防損，部落急忙採收小米,11,2009/03/12,桃花舞春風，鎮西堡迎賓,0.9278420154713358
12,2009/08/07,防損，部落急忙採收小米,3,2011/07/17,泰雅人尋根，翻山越嶺返聖地,0.6853564962328792
12,2009/08/07,防損，部落急忙採收小米,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.6316306692906695
12,2009/08/07,防損，部落急忙採收小米,1,2010/04/05,水田部落秘圳47年後「再發現」,0.5494387657106538
12,2009/08/07,防損，部落急忙採收小米,7,2014/07/12,司馬庫斯護林，青壯守夜,0.3374269335448179
13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,9,2015/10/25,尖石泰雅百歲人瑞，用年金買棉被送人,0.7476431800909837
13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.4588907759554094
13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,1,2010/04/05,水田部落秘圳47年後「再發現」,0.324647905167778
13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,6,2015/01/23,泰雅族的遷徙故事，司馬庫斯鮮讀,0.3077820073561168
13,2009/01/16,新竹尖石最後一人，泰雅紋面人瑞辭世,0,2015/01/19,新竹縣油羅溪尖石公、尖石母，露全貌,0.21390040891913387
14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,10,2012/11/08,把鄰人看成豬打獵打死人,0.9771654560287791
14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,4,2011/10/04,賽夏族朝聖之旅，靈異「撞」況多,0.693338837869083
14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,1,2010/04/05,水田部落秘圳47年後「再發現」,0.49022048188638156
14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,2,2014/12/14,黑暗部落成最賺錢部落，司馬庫斯創造觀光奇蹟,0.3967291656138141
14,2012/12/10,疑會車熄火到退嚕…巴士墜谷，13死10傷,7,2014/07/12,司馬庫斯護林，青壯守夜,0.2412974694356086
